"run_id","condition","rt","url","trial_type","trial_index","time_elapsed","internal_node_id","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject","age","gender","gender_rt","attention_check2","attention_check2_rt","cog_practice","CS_rt","cog_practice1","cog_practice2","cog_practice3","cog_load_response8","attention_check1","attention_check1_rt","scenario","test_condition","InJu1","InJu1_rt","InJu1_trial1","InJu1_trial2","InJu1_trial3","cog_load_response0","conf1","ca1","sw1","rsn1","ca2","sw2","rsn2","ca3","sw3","rsn3","CS","CS_trial1","CS_trial2","CS_trial3","reason","InJu2","InJu2_rt","InJu2_trial1","InJu2_trial2","InJu2_trial3","cog_load_response5","conf2","previous_experience","final_comments","responses","stimulus","button_pressed","key_press","response","gender_other","preview","cog_practice_trial_number","InJu1_trial_number","CS_trial_number","InJu2_trial_number","Ju1_bin","Ju2_bin","InCS","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always"
501,"cog_load","5316.699999999721","""","survey-text",52,299436,"0.0-6.0","5dd8ddcb41fb3f87f7971b4f","618b9cbf713205f8e1c56ef7","618c0b92ede48b2914c2e06d","fw7vnp8w78xccma","33",1,3089.89999999991,1,8091.39999999991,"0","8019.799999999814",1,0,0,"1",8,37275.1000000001,"Incest","cog_load","6","10147",1,0,0,"1",6,0,1,0,0,1,0,0,1,0,"0",1,0,0,NA,"7","6257.5",1,0,0,"1",7,"no","no","{""Q0"":""no""}","""","""","""","""",NA,NA,1,1,1,1,"right","right","There is nothing wrong.","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE
697,"cog_load","5133","""","survey-text",60,476039,"0.0-6.0","5ddafb0f2e4a05a5ff7759c9","618b9cbf713205f8e1c56ef2","618c2335af4d2135027b27f1","4a5notljv0w0zbd","44",0,1614,1,15482,"2","11139",0,2,0,"1",8,24721,"Incest","cog_load","1","18070",1,0,0,"3",7,0,0,0,0,0,0,1,1,0,"2",1,0,0,"3","1","11407",1,0,0,"1",7,"no","no","{""Q0"":""no""}","""","""","""","""",NA,NA,2,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","not wrong","wrong","wrong",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
830,"cog_load","9551.800000190735","""","survey-text",60,475516,"0.0-6.0","5ddc44d65a40f2bb49218200","618b9cbf713205f8e1c56f02","618c3c744deb6e020cc1292d","24tb52m7cm0ksas","65",0,2257.2999997139,4,7930.5,"0","8682.800000190735",0,2,0,"1",8,15547.6000003815,"Heinz","cog_load","2","12366.699999809265",1,0,0,"3",6,0,0,0,0,0,0,0,0,0,"2",1,0,0,"3","6","9567.200000286102",1,0,0,"1",6,"No","No","{""Q0"":""No""}","""","""","""","""",NA,NA,2,1,1,1,"wrong","right","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
526,"cog_load","1714.5","debriefing_form.html","external-html",60,813499,"0.0-7.0","5ddd1dd2b48da3c63a3ccdbb","618b9cbf713205f8e1c56ef7","618c0e21f4fd82da81a201c9","zjfygp4lz34cdpr","34",1,1276.89999999991,1,9374.19999999972,"0","8313.099999999627",0,2,0,"1",8,21145.2000000002,"Incest","cog_load","6","16231.30000000028",1,0,0,"3",7,0,1,0,0,1,0,0,1,1,"0",1,0,0,NA,"7","15521.30000000028",1,0,0,"1",7,"No, I have never encountered a similar scenario before.","Nothing to add","""","""","""","""","""",NA,NA,2,1,1,1,"right","right","There is nothing wrong.","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,0,"unstated","reason","reason","no reason","unstated","unstated","reason","reason","no reason",FALSE
153,"control","49918","debriefing_form.html","external-html",27,509293,"0.0-7.0","5ddd607882569acb36380d98","618b9cbf713205f8e1c56f1c","618be009a89eee6b335eb6ff","aclp3f0l7dc5qyn","40",0,2618,1,24221,NA,"7526",NA,NA,NA,NA,8,53728,"Jennifer","control","2","11226",1,0,0,NA,7,0,0,0,0,0,0,1,0,0,"2",1,0,0,"She could get a disease even if it is cooked, that person did not donate their body for the purpose of her eating it.","2","5528",1,0,0,NA,7,"No","no","""","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
820,"control","16378.40000000596","debriefing_form.html","external-html",27,259866,"0.0-7.0","5de33dabc22a30362e4450a5","618b9cbf713205f8e1c56efe","618c3a6544b83993bdb626a6","3p0rcebfxg8x9j4","60",0,1801.70000001788,4,23689.5,NA,"7673.600000023842",NA,NA,NA,NA,8,21492.900000006,"Heinz","control","1","9587.90000000596",1,0,0,NA,7,0,0,0,0,0,0,0,0,0,"2",1,0,0,"He was selfish and not willing to help his fellow man.","1","5500.5",1,0,0,NA,7,"No","No, but thank you!","""","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
451,"control","1576.7000000178814","debriefing_form.html","external-html",26,295044,"0.0-7.0","5de433926a2a0801c28903be","618b9cbf713205f8e1c56f1c","618c069200e1e55bb37594a8","k5vxb0smsuuavm1","44",0,1035.70000001788,1,10330.7000000179,NA,"3836.5",NA,NA,NA,NA,8,23210.3000000119,"Trolley","control","2","3744",1,0,0,NA,1,1,0,1,0,0,1,1,0,1,"1",1,0,0,NA,"3","2908.4000000059605",1,0,0,NA,1,"Yes. I hate these stupid questions. Asking a question that actually could happen seems like it would be a better way to go about this.","Just that I hate these questions. No one should have to choose a hypothetical death.","""","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE
400,"control","48690.79999998212","debriefing_form.html","external-html",27,439062,"0.0-7.0","5de742ec31229a6c3fe709da","618b9cbf713205f8e1c56efc","618bfe1418da39845b6b7aee","9uq0ld4bz9tc5zf","66",1,2370.29999998212,1,17845,NA,"10830.299999982119",NA,NA,NA,NA,8,33850.599999994,"Heinz","control","1","14154",1,0,0,NA,7,0,1,0,0,0,0,0,1,0,"2",1,0,0,"he still would have a profit,protecting his livelyhood and could have saved a life. you can't put a price on life.","1","8380.799999982119",1,0,0,NA,7,"no","money is the root of all evil","""","""","""","""","""",NA,NA,NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","wrong","not wrong","wrong","wrong",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,4,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
939,"cog_load","4341.60000000149","""","html-button-response",55,633756,"0.0-4.0-1.0-10.0-0.0","5de7c6d448241d73d36ceaef","618b9cbf713205f8e1c56f15","618c5789a9f9ad54ff3ac012","jzt69x8gur0e45h","58",1,1995.20000000298,1,87362.299999997,"2","4341.60000000149",0,2,0,"1",8,67835.3000000007,"Trolley","cog_load","6","8305.599999997765",0,2,0,"4",5,0,1,0,0,1,0,0,1,0,"0",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","<video autoplay muted><source src='video/num_scroll_test10.mp4' type='video/mp4'></video><br><p style='font-size:20px;'>Paul's actions saved the lives of five people!</p><p style='font-size:20px;'>How can saving lives be wrong? </p>","0","""","""",NA,NA,2,2,1,NA,"right",NA,"There is nothing wrong.","not wrong","not wrong","not wrong","not wrong","not wrong",NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,0,NA,NA,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE
840,"control","6146.200000047684","""","survey-text",25,162399,"0.0-6.0","5de7f88b762dc2775b2265b8","618b9cbf713205f8e1c56efc","618c3dce0be2ba4299cbb19a","6le4oqwnnzeaje1","66",1,1244.40000009537,1,8259.79999995232,NA,"8203.899999856949",NA,NA,NA,NA,8,43540.9000000954,"Trolley","control","5","10158.5",1,0,0,NA,5,0,1,1,0,1,1,0,1,1,"0",1,0,0,NA,"6","3240.7999999523163",1,0,0,NA,6,"no","no","{""Q0"":""no""}","""","""","""","""",NA,NA,NA,1,1,1,"right","right","There is nothing wrong.","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","unstated","unstated","no reason","no reason","no reason",FALSE
