"condition","InCS","cog_load_CS_num","NFC","reason_always","changed","gender","Ju1_bin","Ju2_bin","right_change","study","right_right"
"cog_load","It's wrong and I can provide a valid reason.",5,0.166666666666667,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","There is nothing wrong.",6,-2.11111111111111,"reason","not_changed","Male","neutral","neutral","nothing wrong","study_3",FALSE
"cog_load","There is nothing wrong.",9,0,"not_always_reason","changed","Female","neutral","neutral","nothing wrong","study_3",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,0.944444444444445,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_3",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,2.66666666666667,"not_always_reason","changed","Female","wrong","neutral","dumbfounded","study_3",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,-0.611111111111111,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_3",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,-1.61111111111111,"not_always_reason","not_changed","Male","wrong","wrong","dumbfounded","study_3",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,-2,"not_always_reason","not_changed","Female","wrong","wrong","dumbfounded","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",5,2.66666666666667,"reason","changed","Female","wrong","neutral","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",4,0.944444444444445,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",5,2.33333333333333,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,1.33333333333333,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",5,-1,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,1.11111111111111,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,1.05555555555556,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,4,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,0.5,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,0,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",7,2.05555555555556,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",6,0.444444444444445,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,-1.61111111111111,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",5,1.05555555555556,"reason","changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",7,2.33333333333333,"reason","not_changed","Female","wrong","wrong","reasons","study_3",FALSE
"cog_load","It's wrong and I can provide a valid reason.",9,-0.833333333333333,"reason","not_changed","Male","wrong","wrong","reasons","study_3",FALSE
"cog_load","There is nothing wrong.",9,0.166666666666667,"not_always_reason","not_changed","Female","right","right","right initially","study_3",TRUE
"cog_load","It's wrong but I can't think of a reason.",5,-0.0555555555555554,"not_always_reason","not_changed","Male","wrong","wrong","dumbfounded","study_3",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,2.5,"reason","not_changed","Male","wrong","wrong","dumbfounded","study_3",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,0.0555555555555554,"not_always_reason","changed","Male","right","neutral","right initially","study_3",FALSE
"cog_load","It's wrong but I can't think of a reason.",9,-0.222222222222222,"not_always_reason","not_changed","Male","wrong","wrong","dumbfounded","study_3",FALSE
"cog_load","There is nothing wrong.",9,3.27777777777778,"reason","not_changed","Male","neutral","neutral","nothing wrong","study_3",FALSE
