"run_id","condition","rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","age","gender","gender_rt","attention_check","attention_check_rt","scenario","test_condition","InJu1","InJu1_rt","InJu1_trial1","InJu1_trial2","InJu1_trial3","conf1","ca1","sw1","rsn1","ca2","sw2","rsn2","ca3","sw3","rsn3","CS","CS_rt","CS_trial1","CS_trial2","CS_trial3","InJu2","InJu2_rt","InJu2_trial1","InJu2_trial2","InJu2_trial3","conf2","responses","stimulus","button_pressed","key_press","response","recorded_at","ip","user_agent","device","browser","browser_version","platform","platform_version","source_code_version","cog_practice","cog_practice1","cog_practice2","cog_practice3","cog_load_response8","cog_load_response0","reason","cog_load_response5","gender_other"
10,"control","1772","""","html-button-response",20,61500,"0.0-3.0-3.0-5.0-0.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p style='font-size:20px;'>Julie and Mark's behaviour did not harm anyone or negatively affect anyone.</p><p style='font-size:20px;'>How can there be anything wrong with what they did?</p>","0","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","2945","""","html-slider-response",21,64448,"0.0-3.0-3.0-6.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>How would you rate the behaviour of Julie and Mark?</p><p>(1 = Morally Wrong; and 7 = Morally Right)</p>","""","""","2",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","13505","""","html-slider-response",22,77966,"0.0-3.0-3.0-7.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","<p>How confident are you about your judgement?</p><p>(1 = Not at all Confident; 7 = Extremely Confident)</p>","""","""","5",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","7683","debriefing_form.html","external-html",23,85931,"0.0-4.0","vt9gewf7j1ynym8",37,4,3077,8,2675,"Incest","control",2,3972,"1","null","null",6,0,0,1,0,1,0,0,0,0,0,1772,"1","null","null",2,2945,"1","null","null",5,"""","""","""","""","""",2021-11-01 21:05:41,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"control","3684","information_sheet.html","external-html",0,4184,"0.0-0.0","hh4bmwnqcoyu730",18,1,1728,8,2909,"Jennifer","control",2,4523,"1","null","null",2,0,0,1,0,1,1,0,1,1,0,3522,"1","null","null",2,2803,"1","null","null",3,"""","""","""","""","""",2021-11-01 20:02:13,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"control","2401","consent_form.html","external-html",1,7095,"0.0-1.0","hh4bmwnqcoyu730",18,1,1728,8,2909,"Jennifer","control",2,4523,"1","null","null",2,0,0,1,0,1,1,0,1,1,0,3522,"1","null","null",2,2803,"1","null","null",3,"""","""","""","""","""",2021-11-01 20:02:13,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"control","9383","""","survey-text",2,16486,"0.0-2.0-0.0","hh4bmwnqcoyu730",18,1,1728,8,2909,"Jennifer","control",2,4523,"1","null","null",2,0,0,1,0,1,1,0,1,1,0,3522,"1","null","null",2,2803,"1","null","null",3,"{""age_q"":""18""}","""","""","""","""",2021-11-01 20:02:13,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"control","1728","""","html-button-response",3,18233,"0.0-2.0-1.0-0.0","hh4bmwnqcoyu730",18,1,1728,8,2909,"Jennifer","control",2,4523,"1","null","null",2,0,0,1,0,1,1,0,1,1,0,3522,"1","null","null",2,2803,"1","null","null",3,"""","<p>Please select your gender:</p>","1","""","""",2021-11-01 20:02:13,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"control","null","""","html-keyboard-response",4,18738,"0.0-3.0-0.0","hh4bmwnqcoyu730",18,1,1728,8,2909,"Jennifer","control",2,4523,"1","null","null",2,0,0,1,0,1,1,0,1,1,0,3522,"1","null","null",2,2803,"1","null","null",3,"""","""","""","null","""",2021-11-01 20:02:13,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"control","2909","""","html-button-response",5,21650,"0.0-3.0-1.0","hh4bmwnqcoyu730",18,1,1728,8,2909,"Jennifer","control",2,4523,"1","null","null",2,0,0,1,0,1,1,0,1,1,0,3522,"1","null","null",2,2803,"1","null","null",3,"""","<img src=""img/attention1.png""><br><p>Please select a word that describes how you are currently feeling:","8","""","""",2021-11-01 20:02:13,"109.77.110.5","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0",NA,"Firefox",93,"Ubuntu",NA,"3a61329f9539c1793efb98a4faa2e6fe",NA,NA,NA,NA,NA,NA,NA,NA,NA
